Learning_Mode,Subject,Study_Hours,Retention_Score,Focus_Level,Exam_Score
Offline,Math,5.9,93,95,94
Offline,Science,5.1,74,99,86
Online,Programming,6.4,97,51,77
Online,Math,4.4,84,77,83
Online,Programming,7.0,92,66,82
Online,Programming,3.1,42,95,62
Offline,English,7.8,97,85,94
Offline,English,4.3,66,88,73
Offline,History,6.3,58,66,56
Offline,Science,6.2,71,89,74
Offline,History,6.9,73,71,74
Offline,English,6.9,91,87,86
Offline,Science,1.4,64,91,70
Offline,English,1.3,71,97,86
Offline,History,2.9,76,58,65
Offline,English,5.2,88,49,76
Offline,Math,7.2,49,40,44
Offline,Programming,7.9,47,68,54
Online,Math,3.7,92,44,76
Offline,History,4.3,68,47,64
Offline,Science,1.9,100,83,88
Online,Math,1.7,42,92,60
Online,English,3.5,91,43,71
Online,Science,3.1,81,97,84
Offline,Programming,1.3,100,100,100
Offline,Programming,1.2,43,54,48
Offline,Science,5.9,68,60,69
Offline,History,1.1,63,60,65
Offline,Math,1.6,61,76,63
Offline,Science,5.7,67,93,75
Online,English,1.3,91,93,96
Offline,English,1.7,64,83,68
Online,Programming,3.3,47,72,58
Offline,Science,5.2,73,73,72
Online,Programming,1.8,82,43,64
Offline,History,4.7,99,84,90
Offline,Science,3.5,100,98,99
Online,Science,2.2,85,52,71
Offline,English,4.5,100,83,88
Offline,English,3.3,70,60,63
Online,Math,2.5,70,89,81
Online,Science,6.0,71,82,76
Online,History,3.0,67,47,56
Online,History,6.4,92,81,85
Online,Programming,2.4,79,87,84
Online,English,1.1,52,96,70
Online,English,2.9,62,40,55
Online,English,2.6,61,85,71
Offline,Science,6.4,63,97,81
Offline,History,3.3,52,95,72
Offline,Math,6.9,72,98,78
Online,History,7.8,69,100,79
Online,History,4.6,78,99,83
Offline,English,6.7,89,85,86
Online,English,3.7,100,88,96
Offline,English,6.0,94,57,81
Online,History,1.6,72,47,63
Offline,Programming,2.6,88,59,72
Online,English,5.0,82,47,67
Online,Programming,6.8,53,48,54
Online,History,4.7,40,59,46
Online,English,6.4,46,42,45
Online,History,4.5,74,64,71
Offline,Programming,4.3,75,55,64
Online,History,5.6,80,79,77
Offline,Math,1.3,100,66,82
Offline,History,5.6,96,81,86
Offline,Programming,5.1,100,42,76
Offline,Math,7.0,49,95,65
Offline,History,7.8,98,74,92
Online,History,6.5,98,75,91
Offline,Math,2.5,58,72,63
Offline,History,2.7,59,67,67
Offline,Science,6.9,60,71,61
Offline,English,1.9,55,53,58
Offline,Science,3.3,87,40,67
Offline,Science,2.0,83,77,79
Online,Science,6.3,80,87,86
Online,History,7.0,65,42,53
Online,Science,7.6,43,55,49
Offline,Science,1.7,59,82,64
Online,Science,3.4,66,89,76
Offline,English,5.0,64,92,71
Online,Programming,5.5,69,67,64
Offline,Math,4.3,72,72,67
Online,Programming,5.0,76,94,80
Online,English,6.0,87,82,83
Offline,History,4.1,93,90,95
Online,History,5.8,69,75,70
Online,Science,4.8,40,87,53
Online,Science,6.0,59,81,63
Online,Math,7.7,40,57,44
Offline,Math,7.7,49,95,68
Online,History,1.2,62,43,55
Online,Math,1.5,64,83,74
Online,Science,4.5,48,68,56
Offline,Science,5.5,44,89,62
Online,Math,3.5,71,94,77
Online,Math,2.1,100,70,87
Online,Programming,5.1,86,61,72
Offline,Math,2.6,54,57,54
Online,Programming,1.7,49,64,59
Offline,Math,4.2,93,94,92
Online,Science,3.7,55,72,66
Offline,Math,3.9,59,92,67
Online,Math,4.9,100,74,86
Online,Programming,7.4,91,48,69
Offline,Programming,4.0,100,40,73
Offline,English,7.4,85,99,91
Offline,Science,1.4,100,81,94
Offline,Programming,4.0,69,87,80
Offline,English,6.9,71,100,87
Online,History,1.9,66,64,70
Online,English,4.6,59,46,49
Online,English,5.4,89,69,86
Offline,Programming,5.4,47,40,39
Offline,Science,7.9,65,75,69
Offline,Math,5.0,81,51,66
Online,History,2.6,44,55,47
Offline,English,2.0,83,63,78
Online,Math,4.4,84,42,72
Offline,Programming,6.3,70,96,80
Online,Programming,6.0,70,82,73
Offline,Math,7.1,100,93,98
Online,Math,6.5,98,91,97
Offline,Programming,4.9,98,72,87
Online,Programming,4.3,93,62,76
Offline,Math,7.1,52,100,71
Offline,Programming,7.7,100,67,86
Online,Math,2.8,85,40,67
Offline,Science,2.7,98,53,78
Online,Programming,5.1,48,68,59
Offline,Science,5.2,98,95,98
Online,English,5.6,61,45,57
Online,History,3.2,73,64,74
Online,Science,4.8,87,43,74
Online,English,6.3,58,98,77
Online,Programming,5.7,56,72,64
Online,History,3.2,44,46,41
Online,History,1.6,79,77,76
Online,Math,7.5,57,81,61
Offline,History,7.8,93,79,88
Online,Math,5.4,55,63,55
Offline,English,2.3,68,59,59
Online,English,4.7,69,51,58
